Time (s),Airspeed Input (m/s),Distance Output (m),Altitude (m),Actual Airspeed (m/s)
108.54044485092163,16.0,268.6165180940259,21.603,15.284896850585938
108.74191498756409,16.0,271.81621398952683,21.603,15.284896850585938
108.94341492652893,16.0,269.4885494721608,21.584,15.30550479888916
109.14485144615173,16.0,268.76075465442744,21.565,15.319583892822266
109.34609580039978,16.0,268.03296029711225,21.547,15.353014945983887
109.54715490341187,16.0,267.28297707452384,21.532,15.371556282043457
109.74824094772339,16.0,270.48267209285297,21.532,15.371556282043457
109.94946837425232,16.0,269.743783677962,21.517,15.407090187072754
110.15074825286865,16.0,268.9938010677975,21.502,15.420841217041016
110.35201597213745,16.0,268.2327009902822,21.487,15.42642593383789
110.55371522903442,16.0,271.4323955342845,21.487,15.42642593383789
110.7549262046814,16.0,270.68239009946456,21.472,15.425779342651367
110.95589804649353,16.0,268.3214427911404,21.456,15.44074535369873
111.15687870979309,16.0,267.5492481306705,21.439,15.453572273254395
111.35815358161926,16.0,270.74894262113145,21.439,15.453572273254395
111.55943942070007,16.0,269.9878197808987,21.424,15.497300148010254
111.76068902015686,16.0,269.2156024898491,21.409,15.5057373046875
111.96168875694275,16.0,268.4322907494566,21.394,15.516715049743652
112.16302061080933,16.0,271.6319861027076,21.394,15.516715049743652
112.36464762687683,16.0,270.8597694476136,21.378,15.513876914978027
112.56600141525269,16.0,268.4766104335355,21.361,15.520079612731934
112.76730632781982,16.0,267.6933209155692,21.343,15.545939445495605
112.96843814849854,16.0,270.893016730693,21.343,15.545939445495605
113.16976690292358,16.0,270.0986325291323,21.326,15.552200317382812
113.37139439582825,16.0,269.31534303147,21.31,15.562616348266602
113.57249236106873,16.0,268.5209589030611,21.293,15.56985092163086
113.77418041229248,16.0,271.72065476739795,21.293,15.56985092163086
113.97541904449463,16.0,270.915197477924,21.276,15.586265563964844
114.17641758918762,16.0,270.1208353215433,21.257,15.625866889953613
114.37829542160034,16.0,267.7155090940744,21.237,15.636428833007812
114.5794095993042,16.0,270.9152043838017,21.237,15.636428833007812
114.78049921989441,16.0,270.0986533176372,21.218,15.645101547241211
114.98206400871277,16.0,269.29317481963744,21.2,15.645673751831055
115.18381094932556,16.0,268.47660169605894,21.183,15.657662391662598
115.38515520095825,16.0,271.6762967742868,21.183,15.657662391662598
115.58681321144104,16.0,270.8597014909456,21.165,15.660090446472168
115.78801012039185,16.0,270.0431064172029,21.147,15.676298141479492
115.98945164680481,16.0,269.2153955347159,21.127,15.693038940429688
116.19081830978394,16.0,268.3877064620081,21.107,15.710001945495605
116.39289855957031,16.0,271.5874028066357,21.107,15.710001945495605
